序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,购方税号,销方税号,发票类型,_source
1,,,26957000000080470899,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060301010000000000,,*保险服务*一年期健康保险（免税）,**,份,1,128,128.0,免税,0.0,128.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
2,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302990000000000,,*保险服务*其他财产保险服务,**,份,1,18.87,18.87,6%,1.13,20.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
3,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060301990000000000,,*保险服务*意外伤害保险,**,份,1,122.65,122.65,6%,7.35,130.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
4,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302990000000000,,*保险服务*财产意外险,**,份,1,94.34,94.34,6%,5.66,100.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
5,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302990000000000,,*保险服务*车辆商业保险,**,份,1,4756.35,4756.35,6%,285.38,5041.73,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
6,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060301990000000000,,*保险服务*人身意外险,**,份,1,75.48,75.48,6%,4.52,80.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
7,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302020000000000,,*保险服务*机动车交通事故责任强制保险,**,份,1,726.42,726.42,6%,43.58,770.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
8,,,26327000000507439611,91320191MA26Y3U27W,南京京东广融贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 10:05:45,1090510030000000000,,*计算机网络设备*普联（TP-LINK） 8口千兆交换机 企业用家用宿舍分流器 网线网络分线器   即插即用 TL-SG1008+,TL-SG1008+,台,1.00000000,78.7600000000000,78.76,13%,10.24,89.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,王梅,订单号:3433286006816343 ,CNY,0.0,1.0,in,,,,
9,,,26327000000505548134,91320191MA26Y3U27W,南京京东广融贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 09:08:47,1090510030000000000,,*计算机网络设备*普联（TP-LINK） 8口千兆交换机 企业用家用宿舍分流器 网线网络分线器   即插即用 TL-SG1008+,TL-SG1008+,台,-1.00000000,78.7600000000000,-78.76,13%,-10.24,-89.0,电子发票服务平台,数电发票（普通发票）,正常,否,正常,王梅,被红冲蓝字数电发票号码: 26327000000496791348 红字发票信息确认单编号: 32011226031000889860 对应正数发票号码:26327000000496791348,CNY,0.0,1.0,in,,,,
10,,,26958479111015377088,91440300192211290H,深圳航空有限责任公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-11 16:06:12,3010301010100000000,航空运输电子客票行程单,*运输服务*票价,,,,,366.97,9%,33.03,400.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,深圳航空有限责任公司,,CNY,0.0,1.0,in,,,,
11,,,26958479111015377088,91440300192211290H,深圳航空有限责任公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-11 16:06:12,6130000000000000000,航空运输电子客票行程单,*代收民航发展基金*民航发展基金,,,,,50.0,不征税,0.0,50.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,深圳航空有限责任公司,,CNY,0.0,1.0,in,,,,
12,,,26958479111015377088,91440300192211290H,深圳航空有限责任公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-11 16:06:12,3010301010100000000,航空运输电子客票行程单,*运输服务*燃油附加费,,,,,18.35,9%,1.65,20.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,深圳航空有限责任公司,,CNY,0.0,1.0,in,,,,
13,,,26442000002609109151,91441900MA53YRFH2D,东莞市明德塑胶模具有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-11 11:43:59,1070601990000000000,,*塑料制品*皮套,透明偏蓝TPU注塑AST04A,PCS,22320,1.1504424778761,25677.88,13%,3338.12,29016.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,张平,,CNY,0.0,1.0,in,,,,
14,,,26342000000730301866,91340123MAEPH7BR84,合肥沧海云帆商贸有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-11 10:37:57,1060105990000000000,,*纸制品*打印纸,,件,1,92.92,92.92,13%,12.08,105.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,许桦君,,CNY,0.0,1.0,in,,,,
16,,,26322000001822950616,91321002MA25K11Q61,扬州都市管家物业服务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-10 10:20:51,3040801010000000000,,*企业管理服务*物业服务,,,,,2970.3,1%,29.7,3000.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,宣琪,生活垃圾托运费2025年9月23号到2026年3月23号,CNY,0.0,1.0,in,,,,
17,,,26327000000491339304,91320594MA1MFD7F31,苏州市吉利优行电子科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-09 18:22:33,3010101020203000000,旅客运输服务发票,*运输服务*客运服务费,,次,1,80.339806,80.34,3%,2.41,82.75,电子发票服务平台,数电发票（普通发票）,正常,是,正常,孔炜,,CNY,0.0,1.0,in,,,,
18,,,26327000000491339304,91320594MA1MFD7F31,苏州市吉利优行电子科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-09 18:22:33,3010101020203000000,旅客运输服务发票,*运输服务*客运服务费,,,,,-20.4,3%,-0.61,-21.01,电子发票服务平台,数电发票（普通发票）,正常,是,正常,孔炜,,CNY,0.0,1.0,in,,,,
19,,,26952000000955498996,91440300MA5GW8XU23,深圳市东潮出行科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-09 18:22:15,3010101020203000000,旅客运输服务发票,*运输服务*客运服务费,,,1,53.25,53.25,3%,1.6,54.85,电子发票服务平台,数电发票（普通发票）,正常,是,正常,邹绮璇,,CNY,0.0,1.0,in,,,,
20,,,26952000000955498996,91440300MA5GW8XU23,深圳市东潮出行科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-09 18:22:15,3010101020203000000,旅客运输服务发票,*运输服务*客运服务费,,,,,-1.74,3%,-0.05,-1.79,电子发票服务平台,数电发票（普通发票）,正常,是,正常,邹绮璇,,CNY,0.0,1.0,in,,,,
21,,,26347000000082125355,91340221MA2MUNUF0E,德力西（芜湖）网络科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-09 13:23:55,1090607030000000000,,*环境监测仪器*分贝仪,EMC B型 分贝仪 30-130db A/C权 带温湿度 TM,只,1,112,112.0,13%,14.56,126.56,电子发票服务平台,数电发票（普通发票）,正常,是,正常,倪玲玉,6922289593319391040,CNY,0.0,1.0,in,,,,
22,,,26347000000082125355,91340221MA2MUNUF0E,德力西（芜湖）网络科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-09 13:23:55,1090607030000000000,,*环境监测仪器*分贝仪,,,,,-0.88,13%,-0.12,-1.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,倪玲玉,6922289593319391040,CNY,0.0,1.0,in,,,,
23,,,26327000000478583640,91320115339333699Q,南京跨越速运有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-08 16:15:15,3040409040000000000,,*快递服务*收派服务费,,期,1,16094.6,16094.6,6%,965.68,17060.28,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,李苑慈,2026.2月运费,CNY,0.0,1.0,in,,,,
24,,,26502000000408379636,91500107MAAC9KPJ40,快智（重庆）人才科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-07 13:15:25,3040803010000000000,,*人力资源服务*劳务派遣服务费,,月,1,40676.55,40676.55,***,115.45,40792.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,赵海红,扣除额:38752.4,CNY,0.0,1.0,in,,,,
25,,,26324000000074885161,92321084MAERB9RK7N,高邮市牛总店餐饮店（个体工商户）,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-07 11:06:07,3070401000000000000,,*餐饮服务*餐饮服务,,,,,759.41,1%,7.59,767.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,胡健,,CNY,0.0,1.0,in,,,,
26,,,26432000000501314716,91430528591044645A,新宁县金鑫电子有限责任公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-07 09:57:49,1090504040000000000,,*移动通信设备*马达,"1027,工高3.0MM,带焊线19mm",个,15197,0.7522123893805,11431.37,13%,1486.08,12917.45,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,赵丽,,CNY,0.0,1.0,in,,,,
27,,,26432000000501314716,91430528591044645A,新宁县金鑫电子有限责任公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-07 09:57:49,1090504040000000000,,*移动通信设备*马达,0827，工作高度3.0MM，线长15MM,个,200,0.8849557522124,176.99,13%,23.01,200.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,赵丽,,CNY,0.0,1.0,in,,,,
28,,,26324000000074867026,92321084MAD26JU08A,高邮市河传河餐饮店（个体工商户）,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 18:54:26,3070401000000000000,,*餐饮服务*餐饮服务,,1,1,290.09900990099,290.1,1%,2.9,293.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄小芳,,CNY,0.0,1.0,in,,,,
29,,,26322000001737417316,92321084MAEDM1B31Q,高邮市玉丽餐饮店（个体工商户）,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:58:33,3070401000000000000,,*餐饮服务*餐饮费,,,,,4125.25,1%,41.25,4166.5,电子发票服务平台,数电发票（普通发票）,正常,是,正常,张璐瑶,,CNY,0.0,1.0,in,,,,
30,,,26324000000074258536,92321084MAE4A8JT0B,高邮市长林汽车用品经营部,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:36:41,1070501040000000000,,*橡胶制品*橡胶实心或半实心轮胎,,,,,544.55,1%,5.45,550.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,栾德伟,,CNY,0.0,1.0,in,,,,
31,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105010000000000,,*纸制品*AST04A 天地盖,91*184*50mm,个,5056,1.7964601769912,9082.9,13%,1180.78,10263.68,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
32,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105070000000000,,*纸制品*内卡,289*84mm,个,8000,0.1061946902655,849.56,13%,110.44,960.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
33,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105070000000000,,*纸制品*彩盒内托,266*173.5mm,个,7200,0.1061946902655,764.6,13%,99.4,864.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
34,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105070000000000,,*纸制品*镭射标,30*30mm,个,3000,0.1327433628319,398.23,13%,51.77,450.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
35,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105070000000000,,*纸制品*防水袋,700*800mm,个,2600,0.7522123893805,1955.75,13%,254.25,2210.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
36,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1070601070000000000,,*塑料制品*PE袋,233*103mm，103mm开口,个,50500,0.0619469026549,3128.32,13%,406.68,3535.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
37,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060201990000000000,,*印刷品*说明书,70*110mm,个,50050,0.0902654867257,4517.79,13%,587.31,5105.1,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
38,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060201990000000000,,*印刷品*保修卡,70*110mm,个,50050,0.0442477876106,2214.6,13%,287.9,2502.5,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
39,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105010000000000,,*纸制品*AST01A卡通箱,385*270*205mm,个,2530,2.8318584070796,7164.6,13%,931.4,8096.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
40,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105990000000000,,*纸制品*AST01A平卡,370*270mm,个,5100,0.2477876106195,1263.72,13%,164.28,1428.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
41,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105990000000000,,*纸制品*纸护角,1400*50*50*5mm,个,430,2.0176991150442,867.61,13%,112.79,980.4,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
42,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105990000000000,,*纸制品*围板,1200*1000*1400mm,个,120,7.070796460177,848.5,13%,110.3,958.8,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
43,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1060105990000000000,,*纸制品*盖板,1200*1000*100mm,个,120,4.6548672566372,558.58,13%,72.62,631.2,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
44,,,26442000002407188196,91441900MA5266QA4R,东莞市景湾印务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 15:14:55,1070603020000000000,,*塑料制品*卡板,1200*1000*130mm,个,35,75.2212389380531,2632.74,13%,342.26,2975.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋凌,26.02,CNY,0.0,1.0,in,,,,
45,,,26322000001729321861,92321084MAEWDF4E3G,高邮市盛泰办公用品店（个体工商户）,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 13:51:25,1070601070000000000,,*塑料制品*缠绕膜,50cm,箱,1,257.425742574257,257.43,1%,2.57,260.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,张纯吉,,CNY,0.0,1.0,in,,,,
46,,,26322000001729321861,92321084MAEWDF4E3G,高邮市盛泰办公用品店（个体工商户）,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 13:51:25,1070601990000000000,,*塑料制品*自封袋,20*28cm,个,200,0.1782178217822,35.64,1%,0.36,36.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,张纯吉,,CNY,0.0,1.0,in,,,,
47,,,26322000001729321861,92321084MAEWDF4E3G,高邮市盛泰办公用品店（个体工商户）,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 13:51:25,1070601990000000000,,*塑料制品*自封袋,14*20cm,个,300,0.0891089108911,26.73,1%,0.27,27.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,张纯吉,,CNY,0.0,1.0,in,,,,
48,,,26322000001729321861,92321084MAEWDF4E3G,高邮市盛泰办公用品店（个体工商户）,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 13:51:25,1070601990000000000,,*塑料制品*自封袋,10*15cm,个,300,0.0594059405941,17.82,1%,0.18,18.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,张纯吉,,CNY,0.0,1.0,in,,,,
49,,,26952000000905101201,91440300MA5ED05CXU,深圳市泰立丰电子科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 13:22:59,1090519990000000000,,*电子元件*数据线,"L=1M,USB-Type-C数据线，5V2A",个,5000,1.5044247787611,7522.12,13%,977.88,8500.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,龚元,,CNY,0.0,1.0,in,,,,
50,,,26952000000903480046,91440300063861625B,深圳市红星辉印刷有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 12:00:30,1060201990000000000,,*印刷品*保护膜,166.25*73.05MM,个,15000,0.2920353982301,4380.53,13%,569.47,4950.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,吴瑞凤,,CNY,0.0,1.0,in,,,,
51,,,26952000000903480046,91440300063861625B,深圳市红星辉印刷有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 12:00:30,1060201990000000000,,*印刷品*保护膜,166.25+4*73.05MM,个,30000,0.1946902654867,5840.71,13%,759.29,6600.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,吴瑞凤,,CNY,0.0,1.0,in,,,,
52,,,26952000000903480046,91440300063861625B,深圳市红星辉印刷有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-06 12:00:30,1060201990000000000,,*印刷品*保护膜,164.6*71.7MM,个,3000,0.353982300885,1061.95,13%,138.05,1200.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,吴瑞凤,,CNY,0.0,1.0,in,,,,
53,,,26442000002361804646,91441900MA5483685K,东莞市誉鑫电子科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-05 16:06:35,1070601990000000000,,*塑料制品*闪光灯罩,BTP21A,个,15000,0.2212389380531,3318.58,13%,431.42,3750.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,马叶青,,CNY,0.0,1.0,in,,,,
54,,,26442000002361804646,91441900MA5483685K,东莞市誉鑫电子科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-05 16:06:35,1070601990000000000,,*塑料制品*按键,AST04A,个,15000,0.2654867256637,3982.3,13%,517.7,4500.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,马叶青,,CNY,0.0,1.0,in,,,,
55,,,26502000000390261346,91500152MAD8691D88,重庆邦悦汇人力资源管理有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-05 09:43:32,3040803010000000000,,*人力资源服务*劳务派遣服务费,,月,1,18326.7326732673,18326.73,1%,183.27,18510.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,刘真汐,,CNY,0.0,1.0,in,,,,
56,,,26322000001684485031,91321084MA7NDC047E,扬州众昊人力资源有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-05 09:28:28,3040803010000000000,,*人力资源服务*代发工资,,,,,14390.0,***,0.0,14390.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,胡康,扣除额:14390,CNY,0.0,1.0,in,,,,
57,,,26327000000432025175,913210007206024647,中国石化销售股份有限公司江苏扬州石油分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-04 09:54:40,1070101010100000000,成品油发票,*汽油*95号车用汽油(ⅥB),95号,升,77.18933333,6.63718649,512.32,13%,66.6,578.92,电子发票服务平台,数电发票（普通发票）,正常,是,正常,邵景麟,,CNY,0.0,1.0,in,,,,
58,,,26322000001650353011,91321084MA7LB1MX1Q,扬州潮牛帮餐饮管理有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-03 19:57:41,3070401000000000000,,*餐饮服务*餐饮服务,,,,,248.51,1%,2.49,251.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,詹少华,收款人:詹少华 复核人:詹楚丰,CNY,0.0,1.0,in,,,,
59,,,26952000000851085856,91440300335268914K,深圳市颖勤电子有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-03 17:13:53,1090504040000000000,,*移动通信设备*充电器,英规单C黑色,个,230,11.0619469026549,2544.25,13%,330.75,2875.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈荣昌,,CNY,0.0,1.0,in,,,,
60,,,26952000000851085856,91440300335268914K,深圳市颖勤电子有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-03 17:13:53,1090504040000000000,,*移动通信设备*充电器,英规5V2A黑色,个,3027,6.1946902654867,18751.33,13%,2437.67,21189.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈荣昌,,CNY,0.0,1.0,in,,,,
61,,,26317000000875250734,91310105134638405A,上海华程西南国际旅行社有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-03 17:06:50,3040802990000000000,,*经纪代理服务*代订机票产品,,,1,1028.301886792453,1028.3,6%,61.7,1090.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,韩贇斐,"携程订单:1128145549855218,2026/1/30 深圳-扬州 ZH8895 吴祖发 经济舱",CNY,0.0,1.0,in,,,,
62,,,26317000000875250732,91310105134638405A,上海华程西南国际旅行社有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-03 17:06:50,3040802990000000000,,*经纪代理服务*代订机票产品,,,1,886.7924528301887,886.79,6%,53.21,940.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,韩贇斐,"携程订单:1128145635474610,2026/2/5 扬州-深圳 ZH8894 吴祖发 经济舱",CNY,0.0,1.0,in,,,,
63,,,26442000002223061276,91441900MA531WB36R,东莞市朗琪电子科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-02 16:36:08,1070601060000000000,,*塑料制品*保护套,ASTO2A保护套,个,6950,1.1504424778761,7995.58,13%,1039.42,9035.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,林麒麟,1月,CNY,0.0,1.0,in,,,,
64,,,26322000001586780026,91321084MAEP5UH96D,高邮星华汽车服务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-01 17:29:20,2010500000000000000,,*劳务*维修费,,,,,485.15,1%,4.85,490.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,王增辉,,CNY,0.0,1.0,in,,,,
65,,,26337000000221916106,913301833281882112,杭州京东惠景贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-01 09:26:26,1070223020000000000,,*美容护肤品*玉泽（Dr.Yu）皮肤屏障修护保湿水200ml（敏感肌爽肤水温和舒缓）女神节礼物,保湿水,个,1.00000000,100.0000000000000,100.0,13%,13.0,113.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,王梅,订单号:3421286002990015 ,CNY,0.0,1.0,in,,,,
66,,,26337000000221916106,913301833281882112,杭州京东惠景贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-01 09:26:26,1070223020000000000,,*美容护肤品*玉泽（Dr.Yu）皮肤屏障修护保湿水200ml（敏感肌爽肤水温和舒缓）女神节礼物,,,,,-14.14,13%,-1.84,-15.98,电子发票服务平台,数电发票（普通发票）,正常,是,正常,王梅,订单号:3421286002990015 ,CNY,0.0,1.0,in,,,,
67,,,26337000000221916106,913301833281882112,杭州京东惠景贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-01 09:26:26,1070223020000000000,,*美容护肤品*玉泽（Dr.Yu）玉泽皮肤屏障修护保湿水80ml,爽肤水,瓶,2.00000000,2.6550000000000,5.31,13%,0.69,6.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,王梅,订单号:3421286002990015 ,CNY,0.0,1.0,in,,,,
