序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,购方税号,销方税号,发票类型,_source
20,,,26322000001137081901,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 12:01:40,1090504040000000000,,*移动通信设备*面壳LCD点胶组件,,个,200,49.6069,9921.38,0%,0.0,9921.38,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-004(5)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 498863.4、汇率：7.0867  出口报关单号：：534520250450809979,USD,498863.4,7.0867,out,,,,
21,,,26322000001137081901,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 12:01:40,1090504040000000000,,*移动通信设备*喇叭,,个,100,2.9764,297.64,0%,0.0,297.64,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-004(5)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 498863.4、汇率：7.0867  出口报关单号：：534520250450809979,USD,498863.4,7.0867,out,,,,
22,,,26322000001137081901,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 12:01:40,1090504040000000000,,*移动通信设备*听筒,,个,100,1.4173,141.73,0%,0.0,141.73,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-004(5)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 498863.4、汇率：7.0867  出口报关单号：：534520250450809979,USD,498863.4,7.0867,out,,,,
23,,,26322000001137081901,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 12:01:40,1090504040000000000,,*移动通信设备*侧键FPC,,个,100,0.7086,70.86,0%,0.0,70.86,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-004(5)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 498863.4、汇率：7.0867  出口报关单号：：534520250450809979,USD,498863.4,7.0867,out,,,,
24,,,26322000001137081901,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 12:01:40,1090504040000000000,,*移动通信设备*闪光灯FPC,,个,50,0.6378,31.89,0%,0.0,31.89,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-004(5)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 498863.4、汇率：7.0867  出口报关单号：：534520250450809979,USD,498863.4,7.0867,out,,,,
25,,,26322000001137081901,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 12:01:40,1090504040000000000,,*移动通信设备*同轴线,,根,50,0.6378,31.89,0%,0.0,31.89,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-004(5)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 498863.4、汇率：7.0867  出口报关单号：：534520250450809979,USD,498863.4,7.0867,out,,,,
26,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090505010000000000,,*移动通信设备*智能手机,Wildfire E6 Star,台,-16200,216.1585234,-3501768.08,0%,0.0,-3501768.08,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
27,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*主板,,套,-200,115.158875,-23031.78,0%,0.0,-23031.78,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
28,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*面壳LCD点胶组件,,个,-200,49.6069,-9921.38,0%,0.0,-9921.38,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
29,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*电池,,个,-500,14.88207,-7441.04,0%,0.0,-7441.04,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
